"REF_DATE","GEO","DGUID","Modifications list","Modifications, requirements and availability","Age group","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2016A000011124","Job redesign","Required to work","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862434","1.1.1.1.1","173030","","","","0"
"2012","Canada","2016A000011124","Job redesign","Required to work","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862435","1.1.1.1.2","14.7","","","","1"
"2012","Canada","2016A000011124","Job redesign","Required to work","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862436","1.1.1.1.3","12.9","","","","1"
"2012","Canada","2016A000011124","Job redesign","Required to work","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862437","1.1.1.1.4","16.8","","","","1"
"2012","Canada","2016A000011124","Job redesign","Have not been made available","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862438","1.1.2.1.1","75150","","","","0"
"2012","Canada","2016A000011124","Job redesign","Have not been made available","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862439","1.1.2.1.2","43.4","","","","1"
"2012","Canada","2016A000011124","Job redesign","Have not been made available","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862440","1.1.2.1.3","36.4","","","","1"
"2012","Canada","2016A000011124","Job redesign","Have not been made available","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862441","1.1.2.1.4","50.8","","","","1"
"2012","Canada","2016A000011124","Telework","Required to work","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862442","1.2.1.1.1","48370","","","","0"
"2012","Canada","2016A000011124","Telework","Required to work","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862443","1.2.1.1.2","4.1","","","","1"
"2012","Canada","2016A000011124","Telework","Required to work","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862444","1.2.1.1.3","3.3","","","","1"
"2012","Canada","2016A000011124","Telework","Required to work","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862445","1.2.1.1.4","5.1","","","","1"
"2012","Canada","2016A000011124","Telework","Have not been made available","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862446","1.2.2.1.1","24470","","","","0"
"2012","Canada","2016A000011124","Telework","Have not been made available","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862447","1.2.2.1.2","50.6","","","","1"
"2012","Canada","2016A000011124","Telework","Have not been made available","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862448","1.2.2.1.3","40.5","","","","1"
"2012","Canada","2016A000011124","Telework","Have not been made available","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862449","1.2.2.1.4","60.7","","","","1"
"2012","Canada","2016A000011124","Reduced work hours","Required to work","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862450","1.3.1.1.1","278960","","","","0"
"2012","Canada","2016A000011124","Reduced work hours","Required to work","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862451","1.3.1.1.2","23.7","","","","1"
"2012","Canada","2016A000011124","Reduced work hours","Required to work","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862452","1.3.1.1.3","21.4","","","","1"
"2012","Canada","2016A000011124","Reduced work hours","Required to work","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862453","1.3.1.1.4","26.1","","","","1"
"2012","Canada","2016A000011124","Reduced work hours","Have not been made available","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862454","1.3.2.1.1","80870","","","","0"
"2012","Canada","2016A000011124","Reduced work hours","Have not been made available","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862455","1.3.2.1.2","29.0","","","","1"
"2012","Canada","2016A000011124","Reduced work hours","Have not been made available","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862456","1.3.2.1.3","24.1","","","","1"
"2012","Canada","2016A000011124","Reduced work hours","Have not been made available","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862457","1.3.2.1.4","34.4","","","","1"
"2012","Canada","2016A000011124","Human support","Required to work","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862458","1.4.1.1.1","47400","E","","","0"
"2012","Canada","2016A000011124","Human support","Required to work","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862459","1.4.1.1.2","4.0","E","","","1"
"2012","Canada","2016A000011124","Human support","Required to work","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862460","1.4.1.1.3","2.9","","","","1"
"2012","Canada","2016A000011124","Human support","Required to work","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862461","1.4.1.1.4","5.6","","","","1"
"2012","Canada","2016A000011124","Human support","Have not been made available","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862462","1.4.2.1.1","26200","E","","","0"
"2012","Canada","2016A000011124","Human support","Have not been made available","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862463","1.4.2.1.2","55.3","","","","1"
"2012","Canada","2016A000011124","Human support","Have not been made available","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862464","1.4.2.1.3","39.9","","","","1"
"2012","Canada","2016A000011124","Human support","Have not been made available","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862465","1.4.2.1.4","69.8","","","","1"
"2012","Canada","2016A000011124","Technical aids","Required to work","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862466","1.5.1.1.1","16530","E","","","0"
"2012","Canada","2016A000011124","Technical aids","Required to work","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862467","1.5.1.1.2","1.4","E","","","1"
"2012","Canada","2016A000011124","Technical aids","Required to work","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862468","1.5.1.1.3","1.0","","","","1"
"2012","Canada","2016A000011124","Technical aids","Required to work","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862469","1.5.1.1.4","2.0","","","","1"
"2012","Canada","2016A000011124","Technical aids","Have not been made available","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862470","1.5.2.1.1","9250","E","","","0"
"2012","Canada","2016A000011124","Technical aids","Have not been made available","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862471","1.5.2.1.2","56.0","","","","1"
"2012","Canada","2016A000011124","Technical aids","Have not been made available","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862472","1.5.2.1.3","38.3","","","","1"
"2012","Canada","2016A000011124","Technical aids","Have not been made available","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862473","1.5.2.1.4","72.2","","","","1"
"2012","Canada","2016A000011124","Computer and/or laptop with specialized software and/or adaptations","Required to work","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862474","1.6.1.1.1","36610","E","","","0"
"2012","Canada","2016A000011124","Computer and/or laptop with specialized software and/or adaptations","Required to work","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862475","1.6.1.1.2","3.1","E","","","1"
"2012","Canada","2016A000011124","Computer and/or laptop with specialized software and/or adaptations","Required to work","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862476","1.6.1.1.3","2.1","","","","1"
"2012","Canada","2016A000011124","Computer and/or laptop with specialized software and/or adaptations","Required to work","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862477","1.6.1.1.4","4.5","","","","1"
"2012","Canada","2016A000011124","Computer and/or laptop with specialized software and/or adaptations","Have not been made available","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862478","1.6.2.1.1","23430","E","","","0"
"2012","Canada","2016A000011124","Computer and/or laptop with specialized software and/or adaptations","Have not been made available","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862479","1.6.2.1.2","64.0","","","","1"
"2012","Canada","2016A000011124","Computer and/or laptop with specialized software and/or adaptations","Have not been made available","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862480","1.6.2.1.3","47.8","","","","1"
"2012","Canada","2016A000011124","Computer and/or laptop with specialized software and/or adaptations","Have not been made available","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862481","1.6.2.1.4","77.5","","","","1"
"2012","Canada","2016A000011124","Communication aids","Required to work","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862482","1.7.1.1.1","24900","E","","","0"
"2012","Canada","2016A000011124","Communication aids","Required to work","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862483","1.7.1.1.2","2.1","E","","","1"
"2012","Canada","2016A000011124","Communication aids","Required to work","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862484","1.7.1.1.3","1.2","","","","1"
"2012","Canada","2016A000011124","Communication aids","Required to work","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862485","1.7.1.1.4","3.6","","","","1"
"2012","Canada","2016A000011124","Communication aids","Have not been made available","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862486","1.7.2.1.1","20200","E","","","0"
"2012","Canada","2016A000011124","Communication aids","Have not been made available","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862487","1.7.2.1.2","81.1","","","","1"
"2012","Canada","2016A000011124","Communication aids","Have not been made available","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862488","1.7.2.1.3","65.2","","","","1"
"2012","Canada","2016A000011124","Communication aids","Have not been made available","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862489","1.7.2.1.4","90.8","","","","1"
"2012","Canada","2016A000011124","A modified and/or ergonomic workstation","Required to work","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862490","1.8.1.1.1","145900","","","","0"
"2012","Canada","2016A000011124","A modified and/or ergonomic workstation","Required to work","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862491","1.8.1.1.2","12.4","","","","1"
"2012","Canada","2016A000011124","A modified and/or ergonomic workstation","Required to work","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862492","1.8.1.1.3","10.8","","","","1"
"2012","Canada","2016A000011124","A modified and/or ergonomic workstation","Required to work","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862493","1.8.1.1.4","14.2","","","","1"
"2012","Canada","2016A000011124","A modified and/or ergonomic workstation","Have not been made available","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862494","1.8.2.1.1","76290","","","","0"
"2012","Canada","2016A000011124","A modified and/or ergonomic workstation","Have not been made available","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862495","1.8.2.1.2","52.3","","","","1"
"2012","Canada","2016A000011124","A modified and/or ergonomic workstation","Have not been made available","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862496","1.8.2.1.3","44.8","","","","1"
"2012","Canada","2016A000011124","A modified and/or ergonomic workstation","Have not been made available","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862497","1.8.2.1.4","59.7","","","","1"
"2012","Canada","2016A000011124","Special chair and/or back support","Required to work","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862498","1.9.1.1.1","202610","","","","0"
"2012","Canada","2016A000011124","Special chair and/or back support","Required to work","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862499","1.9.1.1.2","17.2","","","","1"
"2012","Canada","2016A000011124","Special chair and/or back support","Required to work","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862500","1.9.1.1.3","15.3","","","","1"
"2012","Canada","2016A000011124","Special chair and/or back support","Required to work","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862501","1.9.1.1.4","19.3","","","","1"
"2012","Canada","2016A000011124","Special chair and/or back support","Have not been made available","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862502","1.9.2.1.1","91750","","","","0"
"2012","Canada","2016A000011124","Special chair and/or back support","Have not been made available","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862503","1.9.2.1.2","45.3","","","","1"
"2012","Canada","2016A000011124","Special chair and/or back support","Have not been made available","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862504","1.9.2.1.3","38.9","","","","1"
"2012","Canada","2016A000011124","Special chair and/or back support","Have not been made available","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862505","1.9.2.1.4","51.9","","","","1"
"2012","Canada","2016A000011124","Handrails, ramps and/or widened doorways and/or hallways","Required to work","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862506","1.10.1.1.1","34590","E","","","0"
"2012","Canada","2016A000011124","Handrails, ramps and/or widened doorways and/or hallways","Required to work","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862507","1.10.1.1.2","2.9","E","","","1"
"2012","Canada","2016A000011124","Handrails, ramps and/or widened doorways and/or hallways","Required to work","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862508","1.10.1.1.3","2.0","","","","1"
"2012","Canada","2016A000011124","Handrails, ramps and/or widened doorways and/or hallways","Required to work","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862509","1.10.1.1.4","4.3","","","","1"
"2012","Canada","2016A000011124","Handrails, ramps and/or widened doorways and/or hallways","Have not been made available","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862510","1.10.2.1.1","","F","","","0"
"2012","Canada","2016A000011124","Handrails, ramps and/or widened doorways and/or hallways","Have not been made available","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862511","1.10.2.1.2","","F","","","1"
"2012","Canada","2016A000011124","Handrails, ramps and/or widened doorways and/or hallways","Have not been made available","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862512","1.10.2.1.3","","F","","","1"
"2012","Canada","2016A000011124","Handrails, ramps and/or widened doorways and/or hallways","Have not been made available","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862513","1.10.2.1.4","","F","","","1"
"2012","Canada","2016A000011124","Adapted and/or accessible parking","Required to work","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862514","1.11.1.1.1","51620","","","","0"
"2012","Canada","2016A000011124","Adapted and/or accessible parking","Required to work","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862515","1.11.1.1.2","4.4","","","","1"
"2012","Canada","2016A000011124","Adapted and/or accessible parking","Required to work","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862516","1.11.1.1.3","3.3","","","","1"
"2012","Canada","2016A000011124","Adapted and/or accessible parking","Required to work","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862517","1.11.1.1.4","5.9","","","","1"
"2012","Canada","2016A000011124","Adapted and/or accessible parking","Have not been made available","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862518","1.11.2.1.1","26560","E","","","0"
"2012","Canada","2016A000011124","Adapted and/or accessible parking","Have not been made available","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862519","1.11.2.1.2","51.5","","","","1"
"2012","Canada","2016A000011124","Adapted and/or accessible parking","Have not been made available","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862520","1.11.2.1.3","36.3","","","","1"
"2012","Canada","2016A000011124","Adapted and/or accessible parking","Have not been made available","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862521","1.11.2.1.4","66.4","","","","1"
"2012","Canada","2016A000011124","An accessible elevator","Required to work","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862522","1.12.1.1.1","43750","","","","0"
"2012","Canada","2016A000011124","An accessible elevator","Required to work","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862523","1.12.1.1.2","3.7","","","","1"
"2012","Canada","2016A000011124","An accessible elevator","Required to work","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862524","1.12.1.1.3","2.7","","","","1"
"2012","Canada","2016A000011124","An accessible elevator","Required to work","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862525","1.12.1.1.4","5.1","","","","1"
"2012","Canada","2016A000011124","An accessible elevator","Have not been made available","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862526","1.12.2.1.1","14560","E","","","0"
"2012","Canada","2016A000011124","An accessible elevator","Have not been made available","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862527","1.12.2.1.2","33.3","E","","","1"
"2012","Canada","2016A000011124","An accessible elevator","Have not been made available","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862528","1.12.2.1.3","20.5","","","","1"
"2012","Canada","2016A000011124","An accessible elevator","Have not been made available","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862529","1.12.2.1.4","49.1","","","","1"
"2012","Canada","2016A000011124","Adapted washrooms","Required to work","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862530","1.13.1.1.1","19200","E","","","0"
"2012","Canada","2016A000011124","Adapted washrooms","Required to work","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862531","1.13.1.1.2","1.6","E","","","1"
"2012","Canada","2016A000011124","Adapted washrooms","Required to work","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862532","1.13.1.1.3","1.2","","","","1"
"2012","Canada","2016A000011124","Adapted washrooms","Required to work","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862533","1.13.1.1.4","2.3","","","","1"
"2012","Canada","2016A000011124","Adapted washrooms","Have not been made available","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862534","1.13.2.1.1","","F","","","0"
"2012","Canada","2016A000011124","Adapted washrooms","Have not been made available","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862535","1.13.2.1.2","","F","","","1"
"2012","Canada","2016A000011124","Adapted washrooms","Have not been made available","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862536","1.13.2.1.3","","F","","","1"
"2012","Canada","2016A000011124","Adapted washrooms","Have not been made available","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862537","1.13.2.1.4","","F","","","1"
"2012","Canada","2016A000011124","Specialized transportation","Required to work","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862538","1.14.1.1.1","14720","","","","0"
"2012","Canada","2016A000011124","Specialized transportation","Required to work","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862539","1.14.1.1.2","1.3","","","","1"
"2012","Canada","2016A000011124","Specialized transportation","Required to work","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862540","1.14.1.1.3","1.0","","","","1"
"2012","Canada","2016A000011124","Specialized transportation","Required to work","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862541","1.14.1.1.4","1.6","","","","1"
"2012","Canada","2016A000011124","Specialized transportation","Have not been made available","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862542","1.14.2.1.1","6360","E","","","0"
"2012","Canada","2016A000011124","Specialized transportation","Have not been made available","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862543","1.14.2.1.2","43.2","","","","1"
"2012","Canada","2016A000011124","Specialized transportation","Have not been made available","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862544","1.14.2.1.3","31.0","","","","1"
"2012","Canada","2016A000011124","Specialized transportation","Have not been made available","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862545","1.14.2.1.4","56.3","","","","1"
"2012","Canada","2016A000011124","Other equipment, help and/or work arrangement","Required to work","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862546","1.15.1.1.1","45250","E","","","0"
"2012","Canada","2016A000011124","Other equipment, help and/or work arrangement","Required to work","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862547","1.15.1.1.2","3.8","","","","1"
"2012","Canada","2016A000011124","Other equipment, help and/or work arrangement","Required to work","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862548","1.15.1.1.3","2.8","","","","1"
"2012","Canada","2016A000011124","Other equipment, help and/or work arrangement","Required to work","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862549","1.15.1.1.4","5.3","","","","1"
"2012","Canada","2016A000011124","Other equipment, help and/or work arrangement","Have not been made available","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862550","1.15.2.1.1","12930","E","","","0"
"2012","Canada","2016A000011124","Other equipment, help and/or work arrangement","Have not been made available","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862551","1.15.2.1.2","28.6","E","","","1"
"2012","Canada","2016A000011124","Other equipment, help and/or work arrangement","Have not been made available","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862552","1.15.2.1.3","16.6","","","","1"
"2012","Canada","2016A000011124","Other equipment, help and/or work arrangement","Have not been made available","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862553","1.15.2.1.4","44.7","","","","1"
